Item Name,Item Type,In Battle Effect,Other Effect,Fling Damage,Can be held?
Zap Plate,Plate,Changes Judgment to a Electric type attack and boosts Electric type attacks by 20%,Changes Arcues to the Electric type,90,TRUE
Eviolite,Stat Boosting,Raises Defense and Special Defense by 50% of held by a Pokemon that can evolve,,40,TRUE
Leek,Pokemon Exclusive,Increases critical hit ratio by two stages if held by Farfetch'd; Galarian Farfetch'd; or Sirfetch'd,,20,TRUE
Light Ball,Pokemon Exclusive,Doubles Attack and Special Attack if held by Pikachu,If held by the parent of a bred Pichu; the Pichu will know Volt Tackle,30,TRUE
Lucky Punch,Pokemon Exclusive,Increases critical hit ratio by two stages if held by Chansey,,40,TRUE
Metal Powder,Pokemon Exclusive,Doubles Defense if held by an untransformed Ditto,,10,TRUE
Quick Powder,Pokemon Exclusive,Doubles Speed if held by an untransformed Ditto,,10,TRUE
Soul Dew,Pokemon Exclusive,Boosts the power of Psychic and Dragon type attacks by 20% if held by Latios or Latias,,30,TRUE
Thick Club,Pokemon Exclusive,Doubles Attack if held by Cubone; Marowak; or Alolan Marowak,,90,TRUE
Black Belt,Type Boosting,Boosts the power of Fighting type attacks by 20%,,30,TRUE
Black Glasses,Type Boosting,Boosts the power of Dark type attacks by 20%,,30,TRUE
Charcoal,Type Boosting,Boosts the power of Fire type attacks by 20%,,30,TRUE
Dragon Fang,Type Boosting,Boosts the power of Dragon type attacks by 20%,,70,TRUE
Hard Stone,Type Boosting,Boosts the power of Rock type attacks by 20%,,100,TRUE
Magnet,Type Boosting,Boosts the power of Electric type attacks by 20%,,30,TRUE
Metal Coat,Type Boosting,Boosts the power of Steel type attacks by 20%,,30,TRUE
Miracle Seed,Type Boosting,Boosts the power of Grass type attacks by 20%,,30,TRUE
Mystic Water,Type Boosting,Boosts the power of Water type attacks by 20%,,30,TRUE
Never-Melt Ice,Type Boosting,Boosts the power of Ice type attacks by 20%,,30,TRUE
Pink Bow,Type Boosting,Boosts the power of Normal type attacks by 20%,,0,FALSE
Poison Barb,Type Boosting,Boosts the power of Poison type attacks by 20%,,70,TRUE
Polkadot  Bow,Type Boosting,Boosts the power of Normal type attacks by 20%,,0,FALSE
Sharp Beak,Type Boosting,Boosts the power of Flying type attacks by 20%,,50,TRUE
Silk Scarf,Type Boosting,Boosts the power of Normal type attacks by 20%,,10,TRUE
Silver Powder,Type Boosting,Boosts the power of Bug type attacks by 20%,,10,TRUE
Soft Sand,Type Boosting,Boosts the power of Ground type attacks by 20%,,10,TRUE
Spell Tag,Type Boosting,Boosts the power of Ghost type attacks by 20%,,30,TRUE
Twisted Spoon,Type Boosting,Boosts the power of Psychic type attacks by 20%,,30,TRUE
Adamant Orb,Type Boosting,Boosts the power of Dragon and Steel type attacks by 20% when held by Dialga,,60,TRUE
Griseous Orb,Type Boosting,Boosts the power of Dragon and Ghost type attacks by 20% when held by Giratina,,60,TRUE
Lustrous Orb ,Type Boosting,Boosts the power of Dragon and Water type attacks by 20% when held by Palkia,,60,TRUE
Buginum Z,Z Crystal,Transforms a Bug type move into the Z-Move; Savage Spin-Out,,0,FALSE
Darkinum Z,Z Crystal,Transforms a Dark type attack into the Z-Move; Black Hole Eclipse,,0,FALSE
Dragonium Z,Z Crystal,Transforms a Dragon type attack into the Z-Move; Devastating Drake,,0,FALSE
Electrium Z,Z Crystal,Transforms an Electric type attack into the Z-Move; Gigavolt Havoc,,0,FALSE
Fairium Z,Z Crystal,Transforms a Fairy type attack into the Z-Move; Twinkle Tackle,,0,FALSE
Fightinium Z,Z Crystal,Transforms a Fighting type attack into the Z-Move; All-Out Pummeling,,0,FALSE
Firium Z,Z Crystal,Transforms a Fire type attack into the Z-Move; Inferno Overdrive,,0,FALSE
Flyinium Z,Z Crystal,Transforms a Flying type attack into the Z-Move; Supersonic Skystrike,,0,FALSE
Ghostium Z,Z Crystal,Transforms a Ghost type attack into the Z-Move; Never-Ending Nightmare,,0,FALSE
Grassium Z,Z Crystal,Transforms a Grass type attack into the Z-Move; Bloom Doom,,0,FALSE
Groundium Z,Z Crystal,Transforms a Ground type attack into the Z-Move; Tectonic Rage,,0,FALSE
Icium Z,Z Crystal,Transforms an Ice type attack into the Z-Move; Subzero Slammer,,0,FALSE
Normalium Z,Z Crystal,Transforms a Normal type attack into the Z-Move; Breakneck Blitz,,0,FALSE
Poisonium Z,Z Crystal,Transforms a Poison type attack into the Z-Move; Acid Downpour,,0,FALSE
Psychium Z,Z Crystal,Transforms a Psychic type attack into the Z-Move; Shattered Psyche,,0,FALSE
Rockium Z,Z Crystal,Transforms a Rock type attack into the Z-Move; Continental Crush,,0,FALSE
Steelium Z,Z Crystal,Transforms a Steel type attack into the Z-Move; Corkscrew Crash,,0,FALSE
Waterium Z,Z Crystal,Transforms a Water type attack into the Z-Move; Hydro Vortex,,0,FALSE
Aloraichium Z,Z Crystal,Transforms Alolan Raichu's Thunderbolt into the Z-Move; Stoked Sparksurfer,,0,FALSE
Decidium Z,Z Crystal,Transforms Decidueye's Spriti Shackle into the Z-Move; Sinister Arrow Raid,,0,FALSE
Eevium Z,Z Crystal,Transforms Eevee's Last Resort into the Z-Move; Extreme Evoboost,,0,FALSE
Incinium Z,Z Crystal,Transforms Incineroar's Darkest Lariat into the Z-Move; Malicious Moonsault,,0,FALSE
Kommonium Z,Z Crystal,Transforms Kommo-o's Clanging Scales into the Z-Move; Clangorous Soulblaze,,0,FALSE
Lunalium Z,Z Crystal,Transforms Lunala's or Dawn Wings Necrozma's Moongeist Beam into the Z-Move; Menacing Moonraze Maelstrom,,0,FALSE
Lycanium Z,Z Crystal,Transforms Lycanroc's Stone Edge into the Z-Move; Splintered Stormshards,,0,FALSE
Marshadium Z,Z Crystal,Transforms Marshadow's Spectral Theif into the Z-Move; Soul-Stealing 7-Star Strike,,0,FALSE
Mewnium Z,Z Crystal,Transforms Mew's Psychic into the Z-Move; Genesis Supernova,,0,FALSE
Mimikium Z,Z Crystal,Transforms Mimikyu's Play Rough into the Z-Move; Let's Snuggle Forever,,0,FALSE
Pikanium Z,Z Crystal,Transforms Pikachu's Volt Tackle into the Z-Move; Catastropika,,0,FALSE
Pikashunium Z,Z Crystal,Transforms Cap Pikachu's Thunderbolt into the Z-Move; 10000000 Volt Thunderbolt,,0,FALSE
Primarium Z,Z Crystal,Transforms Primarina's Sparkling Aria into the Z-Move; Oceanic Opperetta,,0,FALSE
Snorlium Z,Z Crystal,Transforms Snorlax's Giga Impact into the Z-Move; Pulverizing Pancake,,0,FALSE
Solganium Z,Z Crystal,Transforms Solgaleo's or Dusk Mane Necrozma's Sunsteel Strike into the Z-Move; Searing Sunraze Smash,,0,FALSE
Tapunium Z,Z Crystal,Transforms Tapu Koko's; Tapu Bulu's; Tapu Lele's; or Tapu Fini's Nature's Madness into the Z-Move; Guardian of Alola,,0,FALSE
Ultranecrozium Z,Z Crystal,Transforms Ultra Necrozma's Photon Geyser into the Z-Move; Light That Burns the Sky,Allows Dawn Wings Necrozma and Dusk Mane Necrozma to transform into Ultra Necrozma,0,FALSE
Damp Rock,Extension,Extends duration of Rain to 8 turns from 5,,60,TRUE
Heat Rock,Extension,Extends duration of Sun to 8 turns from 5,,60,TRUE
Icy Rock,Extension,Extends duration of Hail or Snow to 8 turns from 5,,40,TRUE
Smooth Rock,Extension,Extends duration of Sandstorm to 8 turns from 5,,10,TRUE
Grip Claw,Extension,Extends duration of binding moves to 7 turns,,90,TRUE
Light Clay,Extension,Extends duration of Light Screen; Reflect; or Aurora Veil to 8 turns from 5,,30,TRUE
Terrain Extender,Extension,Extends duration of terrain to 8 turns from 5,,60,TRUE
