id,Dex Number,Region,Name,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Weight (lb.),Height (m)
35,23,Kanto,Ekans,poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,15.2,2
36,24,Kanto,Arbok,poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,143.3,3.5
37,25,Kanto,Pikachu-M,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
38,25,Kanto,Pikachu-F,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
39,25,Kanto,Pikachu-Cosplay,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
40,25,Kanto,Pikachu-Rock Star,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
41,25,Kanto,Pikachu-Belle,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
42,25,Kanto,Pikachu-Pop Star,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
43,25,Kanto,Pikachu-Ph. D,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
44,25,Kanto,Pikachu-Libre,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
45,25,Kanto,Pikachu-Original Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
46,25,Kanto,Pikachu-Hoenn Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
47,25,Kanto,Pikachu-Sinnoh Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
48,25,Kanto,Pikachu-Unova Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
49,25,Kanto,Pikachu-Kalos Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
50,25,Kanto,Pikachu-Alola Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
51,25,Kanto,Pikachu-Partner Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
52,25,Kanto,Pikachu-World Cap,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,13.2,0.4
53,26,Kanto,Raichu-M,electric,,Static,,Lightning Rod,60,90,55,90,80,110,485,66.1,0.8
54,26,Kanto,Raichu-F,electric,,Static,,Lightning Rod,60,90,55,90,80,110,485,66.1,0.8
55,26,Alola,Alolan Raichu,electric,psychic,Surge Surfer,,,60,85,50,95,85,110,485,46.3,0.7
56,27,Kanto,Sandshrew,ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,300,26.5,0.6
57,27,Alola,Alolan Sandshrew,ice,,Snow Cloak,,Slush Rush,50,75,90,10,35,40,300,88.2,0.7
58,28,Kanto,Sandslash,ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,450,65,1
59,28,Alola,Alolan Sandslash,ice,steel,Snow Cloak,,Slush Rush,75,100,120,25,65,65,450,121.3,1.2
60,29,Kanto,Nidoran-Female,poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,15.4,0.4
61,30,Kanto,Nidorina,poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,44.1,0.8
62,31,Kanto,Nidoqueen,poison,ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,132.3,1.3
63,32,Kanto,Nidoran-Male,poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,19.8,0.5
64,33,Kanto,Nidorino,poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,43,0.9
65,34,Kanto,Nidoking,poison,ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,136.7,1.4
66,35,Kanto,Clefairy,fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,16.5,0.6
67,36,Kanto,Clefable,fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,88.2,1.3
68,37,Kanto,Vulpix,fire,,Flash Fire,,Drought,38,41,40,50,65,65,299,21.8,0.6
69,37,Alola,Alolan Vulpix,ice,,Snow Cloak,,Snow Warning,38,41,40,50,65,65,299,21.8,0.6
70,38,Kanto,Ninetales,fire,,Flash Fire,,Drought,73,76,75,81,100,100,505,43.9,1.1
71,38,Alola,Alolan Ninetales,ice,fairy,Snow Cloak,,Snow Warning,73,67,75,81,100,109,505,43.9,1.1
72,39,Kanto,Jigglypuff,normal,fairy,Cute Charm,Competetive,Friend Guard,115,45,20,45,25,20,270,12.1,0.5
73,40,Kanto,Wigglytuff,normal,fairy,Cute Charm,Competetive,Frisk,140,70,45,85,50,45,435,26.5,1
74,41,Kanto,Zubat-M,poison,flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,16.5,0.8
75,41,Kanto,Zubat-F,poison,flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,16.5,0.8
76,42,Kanto,Golbat-M,poison,flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,121.3,1.6
77,42,Kanto,Golbat-F,poison,flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,121.3,1.6
78,43,Kanto,Oddish,grass,poison,Chlorophyll,,Run Away,45,50,55,75,65,30,320,11.9,0.5
79,44,Kanto,Gloom-M,grass,poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,19,0.8
80,44,Kanto,Gloom-F,grass,poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,19,0.8
81,45,Kanto,Vileplume-M,grass,poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,41,1.2
82,45,Kanto,Vileplume-F,grass,poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,41,1.2
83,46,Kanto,Paras,bug,grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,11.9,0.3
84,47,Kanto,Parasect,bug,grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,65,1
85,48,Kanto,Venonat,bug,poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,66.1,1
86,49,Kanto,Venomoth,bug,poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,27.6,1.5
87,50,Kanto,Diglett,ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1.8,0.2
88,50,Alola,Alolan Diglett,ground,steel,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,265,2.2,0.2
89,51,Kanto,Dugtrio,ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,73.4,0.7
90,51,Alola,Alolan Dugtrio,ground,steel,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,425,146.8,0.7
91,52,Kanto,Meowth,normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,9.3,0.4
92,52,Alola,Alolan Meowth,dark,,Pickup,Technician,Rattled,40,35,35,50,40,90,290,9.3,0.4
93,52,Galar,Galarian Meowth,steel,,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,290,16.5,0.4
94,53,Kanto,Persian,normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,70.5,1
95,53,Alola,Alolan Persian,dark,,Fur Coat,Technician,Rattled,65,60,60,75,65,115,440,72.8,1.1
96,54,Kanto,Psyduck,water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,43.2,0.7
97,55,Kanto,Golduck,water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,168.9,1.7
98,56,Kanto,Mankey,fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,61.7,0.5
99,57,Kanto,Primeape,fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,70.5,1
100,58,Kanto,Growlithe,fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,41.9,0.7
101,58,Hisui,Hisuian Growlithe,fire,rock,Intimidate,Flash Fire,Rock Head,60,75,45,65,50,55,350,50,0.8
102,59,Kanto,Arcanine,fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,341.7,1.9
103,59,Hisui,Hisuian Arcanine,fire,rock,Intimidate,Flash Fire,Rock Head,95,115,80,95,80,90,555,370.4,2
104,60,Kanto,Poliwag,water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,27.3,0.6
105,61,Kanto,Poliwhirl,water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,44.1,1
106,62,Kanto,Poliwrath,water,fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,119,1.3
107,63,Kanto,Abra,psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,43,0.9
108,64,Kanto,Kadabra-M,psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,124.6,1.3
109,64,Kanto,Kadabra-F,psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,124.6,1.3
110,65,Kanto,Alakazam-M,psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,105.8,1.5
111,65,Kanto,Alakazam-F,psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,105.8,1.5
112,65,Kanto,Mega Alakazam,psychic,,Trace,,,55,50,65,175,105,150,600,105.8,1.2
113,66,Kanto,Machop,fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,43,0.8
114,67,Kanto,Machoke,fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,155.4,1.5
115,68,Kanto,Machamp,fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,286.6,1.6
116,69,Kanto,Bellsprout,grass,poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,300,8.8,0.7
117,70,Kanto,Weepinbell,grass,poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,390,14.1,1
118,71,Kanto,Victreebel,grass,poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,490,34.2,1.7
119,72,Kanto,Tentacool,water,poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,100.3,0.9
120,73,Kanto,Tentacruel,water,poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,121.3,1.6
121,74,Kanto,Geodude,rock,ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,44.1,0.4
122,74,Alola,Alolan Geodude,rock,electric,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,300,44.8,0.4
123,75,Kanto,Graveler,rock,ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,231.5,1
124,75,Alola,Alolan Graveler,rock,electric,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,390,242.5,1
125,76,Kanto,Golem,rock,ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,661.4,1.4
126,76,Alola,Alolan Golem,rock,electric,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,495,696.7,1.7
127,77,Kanto,Ponyta,fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,66.1,1
128,77,Galar,Galarian Ponyta,psychic,,Run Away,Pastel Veil,Anticipation,50,85,55,65,65,90,410,52.9,0.8
129,78,Kanto,Rapidash,fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,209.4,1.7
130,78,Galar,Galarian Rapidash,psychic,fairy,Run Away,Pastel Veil,Anticipation,65,100,70,80,80,105,500,176.4,1.7
131,79,Kanto,Slowpoke,water,psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,79.4,1.2
132,79,Galar,Galarian Slowpoke,water,,Gluttony,Own Tempo,Regenerator,90,65,65,40,40,15,315,79.4,1.2
133,80,Kanto,Slowbro,water,psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,173.1,1.6
134,80,Galar,Galarian Slowbro,water,poison,Quick Draw,Own Tempo,Regenerator,95,100,95,100,70,30,490,155.4,1.6
135,80,Kanto,Mega Slowbro,water,psychic,Shell Armor,,,95,75,180,130,80,30,590,264.6,2
136,81,Kanto,Magnemite,electric,steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,13.2,0.3
137,82,Kanto,Magneton,electric,steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,132.3,1
138,83,Kanto,Farfetch'd,normal,flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,33.1,0.8
139,83,Galar,Galarian Farfetch'd,fighting,,Steadfast,,Scrappy,52,95,55,58,62,55,377,92.6,0.8
140,84,Kanto,Doduo-M,normal,flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,86.4,1.4
141,84,Kanto,Doduo-F,normal,flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,86.4,1.4
142,85,Kanto,Dodrio-M,normal,flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,187.8,1.8
143,85,Kanto,Dodrio-F,normal,flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,187.8,1.8
144,86,Kanto,Seel,water,,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,198.4,1.1
145,87,Kanto,Dewgong,water,ice,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,264.6,1.7
146,88,Kanto,Grimer,poison,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,66.1,0.9
147,88,Alola,Alolan Grimer,poison,dark,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,325,92.6,0.7
148,89,Kanto,Muk,poison,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,66.1,1.2
149,89,Alola,Alolan Muk,poison,dark,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,500,114.6,1
150,90,Kanto,Shellder,water,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,8.8,0.3
151,91,Kanto,Cloyster,water,ice,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,292.1,1.5
152,92,Kanto,Gastly,ghost,poison,Levitate,,,30,35,30,100,35,80,310,0.2,1.3
153,93,Kanto,Haunter,ghost,poison,Levitate,,,45,50,45,115,55,95,405,0.2,1.6
154,94,Kanto,Gengar,ghost,poison,Cursed Body,,,60,65,60,130,75,110,500,89.3,1.5
155,94,Kanto,Mega Gengar,ghost,poison,Shadow Tag,,,60,65,80,170,95,130,600,89.3,1.4
156,95,Kanto,Onix,rock,ground,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,463,8.8
157,96,Kanto,Drowzee,psychic,,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,71.4,1
158,97,Kanto,Hypno-M,psychic,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,166.7,1.6
159,97,Kanto,Hypno-F,psychic,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,166.7,1.6
160,98,Kanto,Krabby,water,,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,14.3,0.4
161,99,Kanto,Kingler,water,,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,132.3,1.3
162,100,Kanto,Voltorb,electric,,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,22.9,0.5
163,100,Hisui,Hisuian Voltorb,electric,grass,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,28.7,0.5
164,101,Kanto,Electrode,electric,,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,146.8,1.2
165,101,Hisui,Hisuian Electrode,electric,grass,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,156.5,1.2
166,102,Kanto,Exeggcute,grass,psychic,Chlorophyll,,Harvest,60,40,80,60,45,40,325,5.5,0.4
167,103,Kanto,Exeggutor,grass,psychic,Chlorophyll,,Harvest,95,95,85,125,75,55,530,264.6,2
168,103,Alola,Alolan Exeggutor,grass,dragon,Frisk,,Harvest,95,105,85,125,75,45,530,916.2,10.9
169,104,Kanto,Cubone,ground,,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,14.3,0.4
170,105,Kanto,Marowak,ground,,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,99.2,1
171,105,Alola,Alolan Marowak,fire,ghost,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,425,75,1
172,106,Kanto,Hitmonlee,fighting,,Limber,Reckless,Unburden,50,120,53,35,110,87,455,109.8,1.5
173,107,Kanto,Hitmonchan,fighting,,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,110.7,1.4
174,108,Kanto,Lickitung,normal,,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,144.4,1.2
175,109,Kanto,Koffing,poison,,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,2.2,0.6
176,110,Kanto,Weezing,poison,,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,20.9,1.2
177,110,Galar,Galarian Weezing,poison,fairy,Levitate,Neutralizing Gas,Misty Surge,65,90,120,85,70,60,490,35.3,3
178,111,Kanto,Rhyhorn-M,ground,rock,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,253.5,1
179,111,Kanto,Rhyhorn-F,ground,rock,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,253.5,1
180,112,Kanto,Rhydon-M,ground,rock,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,264.6,1.9
181,112,Kanto,Rhydon-F,ground,rock,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,264.6,1.9
182,113,Kanto,Chansey,normal,,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,76.3,1.1
183,114,Kanto,Tangela,grass,,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,77.2,1
184,115,Kanto,Kangaskhan,normal,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,176.4,2.2
185,115,Kanto,Mega Kangaskhan,normal,,Parental Bond,,,105,125,100,60,100,100,590,220.5,2.2
186,116,Kanto,Horsea,water,,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,17.4,0.4
187,117,Kanto,Seadra,water,,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,55.1,1.2
188,118,Kanto,Goldeen-M,water,,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,33.1,0.6
189,118,Kanto,Goldeen-F,water,,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,33.1,0.6
190,119,Kanto,Seaking-M,water,,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,86,1.3
191,119,Kanto,Seaking-F,water,,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,86,1.3
192,120,Kanto,Staryu,water,,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,76.1,0.8
193,121,Kanto,Starmie,water,psychic,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,176.4,1.1
194,122,Kanto,Mr. Mime,psychic,fairy,Soundproof,Filter,Technician,40,45,65,100,120,90,460,120.2,1.3
195,122,Galar,Galarian Mr. Mime,psychic,ice,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100,460,125.2,1.4
196,123,Kanto,Scyther-M,bug,flying,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,123.5,1.5
197,123,Kanto,Scyther-F,bug,flying,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,123.5,1.5
198,124,Kanto,Jynx,ice,psychic,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,89.5,1.4
199,125,Kanto,Electabuzz,electric,,Static,,Vital Spirit,65,83,57,95,85,105,490,66.1,1.1
200,126,Kanto,Magmar,fire,,Flame Body,,Vital Spirit,65,95,57,100,85,93,495,98.1,1.2
201,127,Kanto,Pinsir,bug,,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,121.3,1.5
202,127,Kanto,Mega Pinsir,bug,flying,Aerialate,,,65,155,120,65,90,105,600,130.1,1.7
203,128,Kanto,Tauros,normal,,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,194.9,1.4
204,128,Paldea,Paldean Tauros-Combat Breed,fighting,,Intimidate,Anger Point,Cud Chew,75,110,105,30,70,100,490,253.5,1.4
205,128,Paldea,Paldean Tauros-Blaze Breed,fighting,fire,Intimidate,Anger Point,Cud Chew,75,110,105,30,70,100,490,187.4,1.4
206,128,Paldea,Paldean Tauros-Aqua Breed,fighting,water,Intimidate,Anger Point,Cud Chew,75,110,105,30,70,100,490,242.5,1.4
207,129,Kanto,Magikarp-M,water,,Swift Swim,,Rattled,20,10,55,15,20,80,200,22,0.9
208,129,Kanto,Magikarp-F,water,,Swift Swim,,Rattled,20,10,55,15,20,80,200,22,0.9
209,130,Kanto,Gyarados-M,water,flying,Intimidate,,Moxie,95,125,79,60,100,81,540,518.1,6.5
210,130,Kanto,Gyarados-F,water,flying,Intimidate,,Moxie,95,125,79,60,100,81,540,518.1,6.5
211,130,Kanto,Mega Gyarados,water,dark,Mold Breaker,,,95,155,109,70,130,81,640,672.4,6.5
212,131,Kanto,Lapras,water,ice,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,485,2.5
213,132,Kanto,Ditto,normal,,Limber,,Imposter,48,48,48,48,48,48,288,8.8,0.3
214,133,Kanto,Eevee-M,normal,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,14.3,0.3
215,133,Kanto,Eevee-F,normal,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,14.3,0.3
216,134,Kanto,Vaporeon,water,,Water Absorb,,Hydration,130,65,60,110,95,65,525,63.9,1
217,135,Kanto,Jolteon,electric,,Volt Absorb,,Quick Feet,65,65,60,110,95,130,525,54,0.8
218,136,Kanto,Flareon,fire,,Flash Fire,,Guts,65,130,60,95,110,65,525,55.1,0.9
219,137,Kanto,Porygon,normal,,Trace,Download,Analytic,65,60,70,85,75,40,395,80.5,0.8
220,138,Kanto,Omanyte,rock,water,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,16.5,0.4
221,139,Kanto,Omastar,rock,water,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,77.2,1
222,140,Kanto,Kabuto,rock,water,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,25.4,0.5
223,141,Kanto,Kabutops,rock,water,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,89.3,1.3
224,142,Kanto,Aerodactyl,rock,flying,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,130.1,1.8
225,142,Kanto,Mega Aerodactyl,rock,flying,Tough Claws,,,80,135,85,70,95,150,615,174.2,2.1
226,143,Kanto,Snorlax,normal,,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,1014.1,2.1
227,144,Kanto,Articuno,ice,flying,Pressure,,Snow Cloak,90,85,100,95,125,85,580,122.1,1.7
228,144,Galar,Galarian Articuno,psychic,flying,Competetive,,,90,85,85,125,100,95,580,112.2,1.7
229,145,Kanto,Zapdos,electric,flying,Pressure,,Static,90,90,85,125,90,100,580,116,1.6
230,145,Galar,Galarian Zapdos,fighting,flying,Defiant,,,90,125,90,85,90,100,580,128.3,1.6
231,146,Kanto,Moltres,fire,flying,Pressure,,Flame Body,90,100,90,125,85,90,580,132.3,2
232,146,Galar,Galarian Moltres,dark,flying,Berserk,,,90,85,90,100,125,90,580,145.5,2
233,147,Kanto,Dratini,dragon,,Shed Skin,,Marvel Scale,41,64,45,50,50,50,300,7.3,1.8
234,148,Kanto,Dragonair,dragon,,Shed Skin,,Marvel Scale,61,84,65,70,70,70,420,36.4,4
